,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,state_code,price_per_product,profit_per_product,loss,discount
1931,Second Class,Consumer,United States,Scottsdale,Arizona,West,Technology,Phones,271.992,1,0.2,23.7993,AZ,271.992,23.7993,0.0,Discount
1935,Standard Class,Corporate,United States,San Francisco,California,West,Technology,Accessories,166.16,8,0.0,59.8176,CA,20.77,7.4772,0.0,No Discount
1944,Standard Class,Corporate,United States,Carrollton,Texas,Central,Technology,Accessories,95.968,4,0.2,26.3912,TX,23.992,6.5978,0.0,Discount
1951,Standard Class,Corporate,United States,New York City,New York,East,Technology,Phones,197.97,3,0.0,57.4113,NY,65.99,19.1371,0.0,No Discount
1955,Standard Class,Corporate,United States,New York City,New York,East,Technology,Accessories,238.0,2,0.0,38.08,NY,119.0,19.04,0.0,No Discount
1956,Standard Class,Corporate,United States,New York City,New York,East,Technology,Accessories,167.97,3,0.0,40.3128,NY,55.99,13.437600000000002,0.0,No Discount
1960,Second Class,Consumer,United States,Springfield,Missouri,Central,Technology,Accessories,296.85,5,0.0,53.433,MO,59.370000000000005,10.6866,0.0,No Discount
1961,Second Class,Consumer,United States,Springfield,Missouri,Central,Technology,Accessories,112.8,6,0.0,6.768,MO,18.8,1.128,0.0,No Discount
1966,Standard Class,Consumer,United States,Paterson,New Jersey,East,Technology,Phones,281.97,3,0.0,78.9516,NJ,93.99000000000001,26.3172,0.0,No Discount
1969,Standard Class,Consumer,United States,Tulsa,Oklahoma,Central,Technology,Accessories,291.96,4,0.0,102.186,OK,72.99,25.5465,0.0,No Discount
1971,Standard Class,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,408.744,7,0.2,76.6395,IL,58.392,10.9485,0.0,Discount
1974,Standard Class,Consumer,United States,Chicago,Illinois,Central,Technology,Accessories,35.016,3,0.2,-2.1885,IL,11.671999999999999,-0.7294999999999999,-2.1885,Discount
1976,Second Class,Corporate,United States,Montgomery,Alabama,South,Technology,Phones,1394.95,5,0.0,362.687,AL,278.99,72.5374,0.0,No Discount
1982,Standard Class,Consumer,United States,Oklahoma City,Oklahoma,Central,Technology,Phones,479.96,4,0.0,134.3888,OK,119.99,33.5972,0.0,No Discount
1986,First Class,Consumer,United States,Columbus,Ohio,East,Technology,Copiers,1439.976,4,0.4,191.9968,OH,359.994,47.9992,0.0,Discount
1998,First Class,Corporate,United States,Chesapeake,Virginia,South,Technology,Phones,161.61,1,0.0,42.0186,VA,161.61,42.0186,0.0,No Discount
1999,First Class,Corporate,United States,Chesapeake,Virginia,South,Technology,Phones,144.95,5,0.0,42.0355,VA,28.99,8.4071,0.0,No Discount
2000,Standard Class,Consumer,United States,Pasadena,California,West,Technology,Accessories,199.95,5,0.0,21.9945,CA,39.989999999999995,4.398899999999999,0.0,No Discount
2006,Standard Class,Corporate,United States,Columbia,Missouri,Central,Technology,Accessories,47.53,7,0.0,16.1602,MO,6.79,2.3085999999999998,0.0,No Discount
2011,Same Day,Consumer,United States,Houston,Texas,Central,Technology,Accessories,159.984,2,0.2,35.9964,TX,79.992,17.9982,0.0,Discount
2046,Standard Class,Corporate,United States,Perth Amboy,New Jersey,East,Technology,Phones,597.0,3,0.0,280.59,NJ,199.0,93.52999999999999,0.0,No Discount
2055,First Class,Consumer,United States,Detroit,Michigan,Central,Technology,Accessories,199.95,5,0.0,63.984,MI,39.989999999999995,12.796800000000001,0.0,No Discount
2057,First Class,Consumer,United States,Detroit,Michigan,Central,Technology,Accessories,84.99,1,0.0,30.5964,MI,84.99,30.5964,0.0,No Discount
2066,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Accessories,251.91,9,0.0,47.8629,CA,27.99,5.3181,0.0,No Discount
2068,Standard Class,Consumer,United States,Pomona,California,West,Technology,Accessories,199.96,4,0.0,69.986,CA,49.99,17.4965,0.0,No Discount
2073,Second Class,Home Office,United States,Brentwood,California,West,Technology,Accessories,59.97,3,0.0,13.7931,CA,19.99,4.597700000000001,0.0,No Discount
2074,Second Class,Home Office,United States,Brentwood,California,West,Technology,Phones,761.544,7,0.2,66.6351,CA,108.792,9.5193,0.0,Discount
2080,Standard Class,Consumer,United States,Phoenix,Arizona,West,Technology,Phones,111.984,2,0.2,11.1984,AZ,55.992,5.5992,0.0,Discount
2099,Standard Class,Consumer,United States,Portland,Oregon,West,Technology,Accessories,279.944,7,0.2,80.4839,OR,39.992000000000004,11.4977,0.0,Discount
2104,Second Class,Corporate,United States,New York City,New York,East,Technology,Accessories,26.0,2,0.0,11.7,NY,13.0,5.85,0.0,No Discount
2113,Same Day,Consumer,United States,Redlands,California,West,Technology,Phones,1295.84,4,0.2,145.782,CA,323.96,36.4455,0.0,Discount
2125,Standard Class,Home Office,United States,Philadelphia,Pennsylvania,East,Technology,Phones,62.958,7,0.4,9.4437,PA,8.994,1.3491,0.0,Discount
2126,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,86.376,3,0.2,1.0797,PA,28.792,0.35990000000000005,0.0,Discount
2135,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,94.92,4,0.4,15.82,PA,23.73,3.955,0.0,Discount
2143,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,East,Technology,Phones,23.988,2,0.4,-4.7976,PA,11.994,-2.3988,-4.7976,Discount
2149,Standard Class,Consumer,United States,New York City,New York,East,Technology,Phones,84.95,5,0.0,22.087,NY,16.990000000000002,4.4174,0.0,No Discount
2151,Second Class,Consumer,United States,Saint Louis,Missouri,Central,Technology,Accessories,111.79,7,0.0,43.5981,MO,15.97,6.2283,0.0,No Discount
2163,Standard Class,Consumer,United States,Laredo,Texas,Central,Technology,Accessories,191.976,3,0.2,23.997,TX,63.992,7.999,0.0,Discount
2169,Second Class,Consumer,United States,Kent,Ohio,East,Technology,Accessories,71.976,3,0.2,-8.997,OH,23.992,-2.999,-8.997,Discount
2170,Second Class,Consumer,United States,Kent,Ohio,East,Technology,Phones,107.982,3,0.4,-26.9955,OH,35.994,-8.9985,-26.9955,Discount
2182,Standard Class,Consumer,United States,New York City,New York,East,Technology,Machines,3999.95,5,0.0,1159.9855,NY,799.99,231.9971,0.0,No Discount
2183,Standard Class,Consumer,United States,New York City,New York,East,Technology,Accessories,199.95,5,0.0,21.9945,NY,39.989999999999995,4.398899999999999,0.0,No Discount
2186,Same Day,Consumer,United States,Huntsville,Alabama,South,Technology,Accessories,29.0,2,0.0,7.25,AL,14.5,3.625,0.0,No Discount
2189,Standard Class,Consumer,United States,Columbus,Indiana,Central,Technology,Phones,1454.49,9,0.0,378.1674,IN,161.61,42.0186,0.0,No Discount
2195,Standard Class,Consumer,United States,Seattle,Washington,West,Technology,Accessories,44.75,5,0.0,8.5025,WA,8.95,1.7005,0.0,No Discount
2201,Standard Class,Consumer,United States,Little Rock,Arkansas,South,Technology,Phones,881.93,7,0.0,229.3018,AR,125.99,32.7574,0.0,No Discount
2207,Standard Class,Home Office,United States,Aurora,Illinois,Central,Technology,Phones,38.272,4,0.2,3.8272,IL,9.568,0.9568,0.0,Discount
2209,Second Class,Consumer,United States,Fairfield,Connecticut,East,Technology,Phones,832.93,7,0.0,233.2204,CT,118.99,33.3172,0.0,No Discount
2220,Standard Class,Corporate,United States,San Francisco,California,West,Technology,Phones,1145.6,4,0.2,100.24,CA,286.4,25.06,0.0,Discount
2221,Same Day,Consumer,United States,Marion,Ohio,East,Technology,Phones,485.94,2,0.4,-89.089,OH,242.97,-44.5445,-89.089,Discount
2227,Standard Class,Corporate,United States,Austin,Texas,Central,Technology,Phones,124.792,1,0.2,15.599,TX,124.792,15.599,0.0,Discount
2233,Second Class,Consumer,United States,Portland,Oregon,West,Technology,Phones,319.968,4,0.2,35.9964,OR,79.992,8.9991,0.0,Discount
2234,Standard Class,Corporate,United States,Burlington,Vermont,East,Technology,Accessories,205.03,7,0.0,67.6599,VT,29.29,9.6657,0.0,No Discount
2241,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,494.982,3,0.4,-115.4958,PA,164.994,-38.4986,-115.4958,Discount
2246,Standard Class,Home Office,United States,Pasadena,California,West,Technology,Phones,659.976,3,0.2,49.4982,CA,219.992,16.499399999999998,0.0,Discount
2255,Standard Class,Corporate,United States,Bangor,Maine,East,Technology,Phones,437.85,3,0.0,131.355,ME,145.95000000000002,43.785,0.0,No Discount
2260,Second Class,Home Office,United States,San Diego,California,West,Technology,Accessories,371.97,3,0.0,66.9546,CA,123.99000000000001,22.3182,0.0,No Discount
2261,Same Day,Consumer,United States,New York City,New York,East,Technology,Accessories,166.24,1,0.0,24.936,NY,166.24,24.936,0.0,No Discount
2263,Second Class,Consumer,United States,Atlanta,Georgia,South,Technology,Accessories,499.98,2,0.0,114.9954,GA,249.99,57.4977,0.0,No Discount
2273,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Copiers,1119.984,2,0.2,377.9946,CA,559.992,188.9973,0.0,Discount
2278,Standard Class,Consumer,United States,Southaven,Mississippi,South,Technology,Accessories,223.96,4,0.0,53.7504,MS,55.99,13.4376,0.0,No Discount
2283,Standard Class,Consumer,United States,New Castle,Indiana,Central,Technology,Phones,23.92,2,0.0,6.6976,IN,11.96,3.3488,0.0,No Discount
2290,Standard Class,Corporate,United States,Columbus,Georgia,South,Technology,Phones,287.97,3,0.0,77.7519,GA,95.99000000000001,25.9173,0.0,No Discount
2293,Standard Class,Corporate,United States,New York City,New York,East,Technology,Phones,4.95,1,0.0,1.3365,NY,4.95,1.3365,0.0,No Discount
2297,Standard Class,Consumer,United States,New York City,New York,East,Technology,Phones,42.95,1,0.0,1.2885,NY,42.95,1.2885,0.0,No Discount
2298,Standard Class,Consumer,United States,New York City,New York,East,Technology,Accessories,1399.93,7,0.0,601.9699,NY,199.99,85.99570000000001,0.0,No Discount
2299,Standard Class,Consumer,United States,New York City,New York,East,Technology,Phones,503.96,4,0.0,125.99,NY,125.99,31.4975,0.0,No Discount
2302,Standard Class,Corporate,United States,Columbus,Georgia,South,Technology,Accessories,316.0,4,0.0,31.6,GA,79.0,7.9,0.0,No Discount
2307,Standard Class,Consumer,United States,New York City,New York,East,Technology,Accessories,390.75,5,0.0,171.93,NY,78.15,34.386,0.0,No Discount
2318,Standard Class,Corporate,United States,Sioux Falls,South Dakota,Central,Technology,Accessories,389.97,3,0.0,132.5898,SD,129.99,44.1966,0.0,No Discount
2320,Standard Class,Corporate,United States,Seattle,Washington,West,Technology,Accessories,265.93,7,0.0,63.8232,WA,37.99,9.1176,0.0,No Discount
2342,First Class,Home Office,United States,Franklin,Massachusetts,East,Technology,Accessories,113.97,3,0.0,27.3528,MA,37.99,9.1176,0.0,No Discount
2355,First Class,Corporate,United States,San Francisco,California,West,Technology,Accessories,36.51,1,0.0,15.6993,CA,36.51,15.6993,0.0,No Discount
2356,First Class,Corporate,United States,San Francisco,California,West,Technology,Machines,239.976,3,0.2,80.9919,CA,79.992,26.9973,0.0,Discount
2370,Second Class,Corporate,United States,Warwick,Rhode Island,East,Technology,Accessories,252.0,4,0.0,93.24,RI,63.0,23.31,0.0,No Discount
2385,First Class,Consumer,United States,Fresno,California,West,Technology,Phones,211.168,4,0.2,15.8376,CA,52.792,3.9594,0.0,Discount
2386,First Class,Consumer,United States,Fresno,California,West,Technology,Copiers,479.984,2,0.2,59.998,CA,239.992,29.999,0.0,Discount
2391,Standard Class,Consumer,United States,New York City,New York,East,Technology,Accessories,1619.91,9,0.0,97.1946,NY,179.99,10.799399999999999,0.0,No Discount
2394,Standard Class,Corporate,United States,New York City,New York,East,Technology,Accessories,37.6,2,0.0,2.256,NY,18.8,1.128,0.0,No Discount
2395,Standard Class,Corporate,United States,New York City,New York,East,Technology,Accessories,59.9,2,0.0,23.96,NY,29.95,11.98,0.0,No Discount
2404,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,1115.91,9,0.0,200.8638,CA,123.99000000000001,22.3182,0.0,No Discount
2405,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,128.744,7,0.2,-28.9674,CA,18.392,-4.1382,-28.9674,Discount
2406,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,79.92,10,0.2,26.973,CA,7.992,2.6973,0.0,Discount
2408,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Phones,359.976,3,0.2,130.4913,CA,119.992,43.497099999999996,0.0,Discount
2416,Standard Class,Corporate,United States,Albuquerque,New Mexico,West,Technology,Accessories,595.0,5,0.0,95.2,NM,119.0,19.04,0.0,No Discount
2418,Standard Class,Corporate,United States,Sparks,Nevada,West,Technology,Machines,2396.4,10,0.2,179.73,NA,239.64000000000001,17.973,0.0,Discount
2420,Standard Class,Corporate,United States,Coachella,California,West,Technology,Accessories,99.99,1,0.0,43.9956,CA,99.99,43.9956,0.0,No Discount
2423,Standard Class,Consumer,United States,Fairfield,Ohio,East,Technology,Accessories,158.928,7,0.2,41.7186,OH,22.704,5.9598,0.0,Discount
2433,Standard Class,Consumer,United States,Houston,Texas,Central,Technology,Phones,54.368,4,0.2,4.0776,TX,13.592,1.0194,0.0,Discount
2440,Standard Class,Consumer,United States,Passaic,New Jersey,East,Technology,Phones,345.0,5,0.0,86.25,NJ,69.0,17.25,0.0,No Discount
2443,Standard Class,Consumer,United States,Passaic,New Jersey,East,Technology,Accessories,95.1,5,0.0,30.432,NJ,19.02,6.086399999999999,0.0,No Discount
2445,Standard Class,Consumer,United States,Passaic,New Jersey,East,Technology,Phones,257.98,2,0.0,74.8142,NJ,128.99,37.4071,0.0,No Discount
2451,Second Class,Consumer,United States,New York City,New York,East,Technology,Phones,119.7,6,0.0,31.122,NY,19.95,5.187,0.0,No Discount
2453,Second Class,Consumer,United States,New York City,New York,East,Technology,Accessories,57.06,3,0.0,18.2592,NY,19.02,6.0864,0.0,No Discount
2454,Second Class,Consumer,United States,New York City,New York,East,Technology,Accessories,71.6,8,0.0,13.604,NY,8.95,1.7005,0.0,No Discount
2464,Standard Class,Consumer,United States,New York City,New York,East,Technology,Phones,136.99,1,0.0,36.9873,NY,136.99,36.9873,0.0,No Discount
2474,First Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,82.95,5,0.0,29.0325,CA,16.59,5.8065,0.0,No Discount
2482,Standard Class,Home Office,United States,Seattle,Washington,West,Technology,Phones,35.168,4,0.2,11.4296,WA,8.792,2.8574,0.0,Discount
2489,Second Class,Consumer,United States,New York City,New York,East,Technology,Phones,631.96,4,0.0,303.3408,NY,157.99,75.8352,0.0,No Discount
2492,Standard Class,Consumer,United States,Jamestown,New York,East,Technology,Phones,4548.81,7,0.0,1228.1787,NY,649.83,175.45409999999998,0.0,No Discount
2494,Second Class,Consumer,United States,Houston,Texas,Central,Technology,Phones,719.96,5,0.2,53.997,TX,143.99200000000002,10.7994,0.0,Discount
2508,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Phones,196.776,3,0.2,14.7582,CA,65.592,4.9194,0.0,Discount
2509,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Accessories,479.94,6,0.0,52.7934,CA,79.99,8.7989,0.0,No Discount
2511,First Class,Consumer,United States,Monroe,Louisiana,South,Technology,Accessories,106.5,6,0.0,41.535,LA,17.75,6.922499999999999,0.0,No Discount
2513,Standard Class,Corporate,United States,Chicago,Illinois,Central,Technology,Accessories,95.968,4,0.2,1.1996,IL,23.992,0.2999,0.0,Discount
2522,Standard Class,Home Office,United States,Oklahoma City,Oklahoma,Central,Technology,Phones,5.5,1,0.0,1.375,OK,5.5,1.375,0.0,No Discount
2525,Standard Class,Consumer,United States,Houston,Texas,Central,Technology,Accessories,25.488,2,0.2,4.4604,TX,12.744,2.2302,0.0,Discount
2533,Standard Class,Corporate,United States,Little Rock,Arkansas,South,Technology,Accessories,339.96,4,0.0,122.3856,AR,84.99,30.5964,0.0,No Discount
2535,First Class,Corporate,United States,La Quinta,California,West,Technology,Accessories,46.32,4,0.0,18.0648,CA,11.58,4.5162,0.0,No Discount
2537,Second Class,Consumer,United States,Cleveland,Ohio,East,Technology,Phones,431.976,4,0.4,-100.7944,OH,107.994,-25.1986,-100.7944,Discount
2538,Second Class,Consumer,United States,Cleveland,Ohio,East,Technology,Phones,155.37,1,0.4,-36.253,OH,155.37,-36.253,-36.253,Discount
2548,Standard Class,Consumer,United States,Phoenix,Arizona,West,Technology,Phones,1879.96,5,0.2,211.4955,AZ,375.992,42.299099999999996,0.0,Discount
2554,Standard Class,Consumer,United States,Tallahassee,Florida,South,Technology,Phones,705.544,7,0.2,70.5544,FL,100.792,10.0792,0.0,Discount
2555,Standard Class,Consumer,United States,New York City,New York,East,Technology,Accessories,50.0,2,0.0,12.0,NY,25.0,6.0,0.0,No Discount
2563,Second Class,Corporate,United States,New York City,New York,East,Technology,Accessories,15.02,1,0.0,2.7036,NY,15.02,2.7036,0.0,No Discount
2565,First Class,Consumer,United States,Bowling Green,Kentucky,South,Technology,Accessories,71.0,4,0.0,27.69,KY,17.75,6.9225,0.0,No Discount
2569,Same Day,Corporate,United States,Newark,Ohio,East,Technology,Phones,164.388,2,0.4,-35.6174,OH,82.194,-17.8087,-35.6174,Discount
2572,Second Class,Consumer,United States,Carrollton,Texas,Central,Technology,Accessories,1399.944,7,0.2,52.4979,TX,199.992,7.4997,0.0,Discount
2582,Standard Class,Home Office,United States,Alexandria,Virginia,South,Technology,Phones,155.35,13,0.0,0.0,VA,11.95,0.0,0.0,No Discount
2584,Standard Class,Home Office,United States,Alexandria,Virginia,South,Technology,Phones,187.98,2,0.0,52.6344,VA,93.99,26.3172,0.0,No Discount
2589,Standard Class,Home Office,United States,Los Angeles,California,West,Technology,Phones,246.168,3,0.2,21.5397,CA,82.056,7.1799,0.0,Discount
2592,Second Class,Corporate,United States,Summerville,South Carolina,South,Technology,Phones,79.1,2,0.0,39.55,SC,39.55,19.775,0.0,No Discount
2596,Standard Class,Corporate,United States,Columbus,Indiana,Central,Technology,Phones,587.97,3,0.0,158.7519,IN,195.99,52.917300000000004,0.0,No Discount
2602,Same Day,Consumer,United States,New York City,New York,East,Technology,Machines,1349.85,3,0.0,364.4595,NY,449.95,121.48649999999999,0.0,No Discount
2607,Standard Class,Corporate,United States,Arlington,Texas,Central,Technology,Accessories,24.672,3,0.2,0.0,TX,8.224,0.0,0.0,Discount
2619,Standard Class,Corporate,United States,Carlsbad,New Mexico,West,Technology,Phones,67.04,4,0.2,6.704,NM,16.76,1.676,0.0,Discount
2623,First Class,Home Office,United States,New York City,New York,East,Technology,Copiers,11199.968,4,0.2,3919.9888,NY,2799.992,979.9972,0.0,Discount
2624,First Class,Home Office,United States,New York City,New York,East,Technology,Phones,2399.6,8,0.0,647.892,NY,299.95,80.9865,0.0,No Discount
2626,First Class,Home Office,United States,New York City,New York,East,Technology,Phones,52.99,1,0.0,0.5299,NY,52.99,0.5299,0.0,No Discount
2627,First Class,Corporate,United States,Springfield,Ohio,East,Technology,Accessories,60.864,4,0.2,9.1296,OH,15.216,2.2824,0.0,Discount
2628,First Class,Corporate,United States,Springfield,Ohio,East,Technology,Machines,652.995,7,0.7,-935.9595,OH,93.285,-133.70850000000002,-935.9595,Discount
2641,Standard Class,Consumer,United States,Hot Springs,Arkansas,South,Technology,Accessories,29.99,1,0.0,2.999,AR,29.99,2.999,0.0,No Discount
2643,Second Class,Home Office,United States,Raleigh,North Carolina,South,Technology,Phones,36.792,1,0.2,4.1391,NC,36.792,4.1391,0.0,Discount
2649,Second Class,Consumer,United States,Tulsa,Oklahoma,Central,Technology,Phones,104.85,3,0.0,28.3095,OK,34.949999999999996,9.4365,0.0,No Discount
2660,Standard Class,Corporate,United States,New York City,New York,East,Technology,Phones,1979.89,11,0.0,494.9725,NY,179.99,44.9975,0.0,No Discount
2666,Same Day,Consumer,United States,Amarillo,Texas,Central,Technology,Accessories,79.512,3,0.2,20.8719,TX,26.504,6.9573,0.0,Discount
2680,Standard Class,Home Office,United States,Jackson,Michigan,Central,Technology,Accessories,619.95,5,0.0,111.591,MI,123.99000000000001,22.318199999999997,0.0,No Discount
2682,Standard Class,Home Office,United States,Jackson,Michigan,Central,Technology,Machines,350.973,3,0.1,152.0883,MI,116.991,50.6961,0.0,Discount
2683,Standard Class,Home Office,United States,Jackson,Michigan,Central,Technology,Phones,164.99,1,0.0,49.497,MI,164.99,49.497,0.0,No Discount
2692,Standard Class,Consumer,United States,Englewood,Colorado,West,Technology,Phones,108.576,3,0.2,8.1432,CO,36.192,2.7144,0.0,Discount
2696,Standard Class,Home Office,United States,Jacksonville,Florida,South,Technology,Machines,821.3,4,0.5,-16.426,FL,205.325,-4.1065,-16.426,Discount
2697,Standard Class,Home Office,United States,Jacksonville,Florida,South,Technology,Machines,22638.48,6,0.5,-1811.0784,FL,3773.08,-301.8464,-1811.0784,Discount
2704,Second Class,Consumer,United States,New York City,New York,East,Technology,Accessories,132.6,6,0.0,17.238,NY,22.099999999999998,2.8729999999999998,0.0,No Discount
2709,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Machines,1919.976,3,0.2,215.9973,CA,639.9920000000001,71.9991,0.0,Discount
2713,Standard Class,Consumer,United States,Wilmington,North Carolina,South,Technology,Phones,302.376,3,0.2,37.797,NC,100.79199999999999,12.598999999999998,0.0,Discount
2715,Standard Class,Corporate,United States,New York City,New York,East,Technology,Phones,129.98,2,0.0,62.3904,NY,64.99,31.1952,0.0,No Discount
2716,Standard Class,Home Office,United States,Columbus,Georgia,South,Technology,Accessories,71.98,2,0.0,15.1158,GA,35.99,7.5579,0.0,No Discount
2717,Standard Class,Consumer,United States,New York City,New York,East,Technology,Phones,377.97,3,0.0,109.6113,NY,125.99000000000001,36.5371,0.0,No Discount
2725,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,359.97,5,0.4,-71.994,PA,71.994,-14.3988,-71.994,Discount
2728,First Class,Consumer,United States,Toledo,Ohio,East,Technology,Phones,629.958,7,0.4,94.4937,OH,89.994,13.4991,0.0,Discount
2730,Standard Class,Consumer,United States,Seattle,Washington,West,Technology,Accessories,799.96,4,0.0,343.9828,WA,199.99,85.9957,0.0,No Discount
2732,Standard Class,Consumer,United States,Plainfield,New Jersey,East,Technology,Phones,73.98,2,0.0,19.9746,NJ,36.99,9.9873,0.0,No Discount
2735,Standard Class,Consumer,United States,Newark,Delaware,East,Technology,Phones,377.97,3,0.0,94.4925,DE,125.99000000000001,31.497500000000002,0.0,No Discount
2738,Standard Class,Consumer,United States,Newark,Delaware,East,Technology,Phones,89.98,2,0.0,43.1904,DE,44.99,21.5952,0.0,No Discount
2740,First Class,Corporate,United States,Hoover,Alabama,South,Technology,Accessories,25.98,2,0.0,1.5588,AL,12.99,0.7794,0.0,No Discount
2744,Second Class,Corporate,United States,San Francisco,California,West,Technology,Phones,125.976,3,0.2,47.241,CA,41.992,15.747,0.0,Discount
2745,Second Class,Consumer,United States,Jacksonville,North Carolina,South,Technology,Accessories,79.992,1,0.2,21.9978,NC,79.992,21.9978,0.0,Discount
2747,Standard Class,Home Office,United States,Frisco,Texas,Central,Technology,Accessories,27.168,4,0.2,-1.3584,TX,6.792,-0.3396,-1.3584,Discount
2753,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Accessories,323.37,3,0.0,129.348,CA,107.79,43.11600000000001,0.0,No Discount
2754,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Phones,783.96,5,0.2,68.5965,CA,156.792,13.7193,0.0,Discount
2757,Second Class,Consumer,United States,New York City,New York,East,Technology,Accessories,239.97,3,0.0,71.991,NY,79.99,23.997,0.0,No Discount
2761,First Class,Home Office,United States,San Francisco,California,West,Technology,Accessories,0.99,1,0.0,0.4356,CA,0.99,0.4356,0.0,No Discount
2769,Standard Class,Consumer,United States,Dallas,Texas,Central,Technology,Accessories,50.12,7,0.2,-0.6265,TX,7.159999999999999,-0.0895,-0.6265,Discount
2770,Standard Class,Consumer,United States,Dallas,Texas,Central,Technology,Accessories,47.976,3,0.2,1.7991,TX,15.991999999999999,0.5997,0.0,Discount
2779,Standard Class,Corporate,United States,Pompano Beach,Florida,South,Technology,Accessories,2.376,3,0.2,0.7425,FL,0.7919999999999999,0.24750000000000003,0.0,Discount
2782,Standard Class,Consumer,United States,Detroit,Michigan,Central,Technology,Phones,257.98,2,0.0,74.8142,MI,128.99,37.4071,0.0,No Discount
2783,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,East,Technology,Phones,23.988,2,0.4,-15.992,PA,11.994,-7.996,-15.992,Discount
2784,Standard Class,Corporate,United States,Troy,Ohio,East,Technology,Phones,23.976,4,0.4,-15.5844,OH,5.994,-3.8961,-15.5844,Discount
2793,Standard Class,Corporate,United States,Redondo Beach,California,West,Technology,Phones,1075.088,14,0.2,94.0702,CA,76.792,6.7193,0.0,Discount
2794,Standard Class,Corporate,United States,Redondo Beach,California,West,Technology,Phones,438.368,4,0.2,38.3572,CA,109.592,9.5893,0.0,Discount
2800,First Class,Corporate,United States,Miami,Florida,South,Technology,Phones,783.96,5,0.2,78.396,FL,156.792,15.6792,0.0,Discount
2813,Second Class,Home Office,United States,Milwaukee,Wisconsin,Central,Technology,Accessories,999.96,4,0.0,229.9908,WI,249.99,57.4977,0.0,No Discount
2821,Standard Class,Consumer,United States,Anaheim,California,West,Technology,Phones,302.376,3,0.2,22.6782,CA,100.79199999999999,7.5594,0.0,Discount
2832,Standard Class,Consumer,United States,Portland,Oregon,West,Technology,Phones,155.976,3,0.2,54.5916,OR,51.992,18.1972,0.0,Discount
2838,First Class,Consumer,United States,Tallahassee,Florida,South,Technology,Machines,695.7,2,0.5,-27.828,FL,347.85,-13.914,-27.828,Discount
2843,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,36.048,3,0.2,-0.9012,PA,12.016,-0.3004,-0.9012,Discount
2858,Standard Class,Consumer,United States,Atlanta,Georgia,South,Technology,Accessories,67.8,4,0.0,4.068,GA,16.95,1.017,0.0,No Discount
2859,Standard Class,Consumer,United States,Atlanta,Georgia,South,Technology,Phones,377.97,3,0.0,98.2722,GA,125.99000000000001,32.7574,0.0,No Discount
2879,Standard Class,Home Office,United States,Westfield,New Jersey,East,Technology,Accessories,254.97,3,0.0,91.7892,NJ,84.99,30.5964,0.0,No Discount
2895,Standard Class,Corporate,United States,Rochester,New York,East,Technology,Phones,35.88,3,0.0,10.0464,NY,11.96,3.3488,0.0,No Discount
2897,Standard Class,Corporate,United States,Charlotte,North Carolina,South,Technology,Copiers,959.968,4,0.2,119.996,NC,239.992,29.999,0.0,Discount
2899,Standard Class,Consumer,United States,New York City,New York,East,Technology,Copiers,479.984,2,0.2,59.998,NY,239.992,29.999,0.0,Discount
2914,Second Class,Consumer,United States,Noblesville,Indiana,Central,Technology,Phones,135.72,3,0.0,35.2872,IN,45.24,11.7624,0.0,No Discount
2916,Second Class,Consumer,United States,Noblesville,Indiana,Central,Technology,Phones,263.96,4,0.0,71.2692,IN,65.99,17.8173,0.0,No Discount
2933,Standard Class,Consumer,United States,Seattle,Washington,West,Technology,Phones,156.792,1,0.2,13.7193,WA,156.792,13.7193,0.0,Discount
2934,Standard Class,Consumer,United States,Seattle,Washington,West,Technology,Phones,431.976,3,0.2,26.9985,WA,143.992,8.9995,0.0,Discount
2949,Same Day,Home Office,United States,Glendale,Arizona,West,Technology,Accessories,41.6,4,0.2,13.0,AZ,10.4,3.25,0.0,Discount
2953,Same Day,Home Office,United States,Glendale,Arizona,West,Technology,Phones,7.92,2,0.2,0.693,AZ,3.96,0.3465,0.0,Discount
2954,Same Day,Home Office,United States,Glendale,Arizona,West,Technology,Phones,671.984,2,0.2,50.3988,AZ,335.992,25.1994,0.0,Discount
